| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
| 109     | 70.000          | FM   | VHF EXP 70    | Experimental (TX requires permit)          |
| 110     | 80.000          | FM   | VHF EXP 80    | Experimental (TX requires permit)          |
| 111     | 90.000          | FM   | VHF EXP 90    | Experimental (TX requires permit)          |
| 112     | 100.000         | FM   | VHF EXP 100   | Experimental (TX requires permit)          |
| 113     | 110.000         | FM   | VHF EXP 110   | Experimental (TX requires permit)          |
| 114     | 120.000         | FM   | VHF EXP 120   | Experimental (TX requires permit)          |
| 115     | 130.000         | FM   | VHF EXP 130   | Experimental (TX requires permit)          |
| 116     | 150.000         | FM   | VHF EXP 150   | Experimental (TX requires permit)          |
| 117     | 160.000         | FM   | VHF EXP 160   | Experimental (TX requires permit)          |
| 118     | 170.000         | FM   | VHF EXP 170   | Experimental (TX requires permit)          |
| 119     | 180.000         | FM   | VHF EXP 180   | Experimental (TX requires permit)          |
| 120     | 190.000         | FM   | VHF EXP 190   | Experimental (TX requires permit)          |
| 121     | 200.000         | FM   | VHF EXP 200   | Experimental (TX requires permit)          |
| 122     | 225.000         | FM   | MID EXP 225   | Experimental (TX requires permit)          |
| 123     | 250.000         | FM   | MID EXP 250   | Experimental (TX requires permit)          |
| 124     | 275.000         | FM   | MID EXP 275   | Experimental (TX requires permit)          |
| 125     | 300.000         | FM   | MID EXP 300   | Experimental (TX requires permit)          |
| 126     | 325.000         | FM   | MID EXP 325   | Experimental (TX requires permit)          |
| 127     | 350.000         | FM   | MID EXP 350   | Experimental (TX requires permit)          |
| 128     | 375.000         | FM   | MID EXP 375   | Experimental (TX requires permit)          |
| 129     | 400.000         | FM   | UHF EXP 400   | Experimental (TX requires permit)          |
| 130     | 425.000         | FM   | UHF EXP 425   | Experimental (TX requires permit)          |
| 131     | 450.000         | FM   | UHF EXP 450   | Experimental (TX requires permit)          |
| 132     | 475.000         | FM   | UHF EXP 475   | Experimental (TX requires permit)          |
| 133     | 500.000         | FM   | UHF EXP 500   | Experimental (TX requires permit)          |
| 134     | 525.000         | FM   | UHF EXP 525   | Experimental (TX requires permit)          |
| 135     | 550.000         | FM   | UHF EXP 550   | Experimental (TX requires permit)          |
| 136     | 575.000         | FM   | UHF EXP 575   | Experimental (TX requires permit)          |
| 137     | 600.000         | FM   | UHF EXP 600   | Experimental (TX requires permit)          |
| 138     | 650.000         | FM   | UHF EXP 650   | Experimental (TX requires permit)          |
| 139     | 700.000         | FM   | UHF EXP 700   | Experimental (TX requires permit)          |
| 140     | 750.000         | FM   | SHF EXP 750   | Experimental (TX requires permit)          |
| 141     | 800.000         | FM   | SHF EXP 800   | Experimental (TX requires permit)          |
| 142     | 850.000         | FM   | SHF EXP 850   | Experimental (TX requires permit)          |
| 143     | 900.000         | FM   | SHF EXP 900   | Experimental (TX requires permit)          |
| 144     | 950.000         | FM   | SHF EXP 950   | Experimental (TX requires permit)          |
| 145     | 1000.000        | FM   | SHF EXP 1000  | Experimental (TX requires permit)          |
| 146     | 1050.000        | FM   | SHF EXP 1050  | Experimental (TX requires permit)          |
| 147     | 1100.000        | FM   | SHF EXP 1100  | Experimental (TX requires permit)          |
| 148     | 1150.000        | FM   | SHF EXP 1150  | Experimental (TX requires permit)          |
| 149     | 1200.000        | FM   | SHF EXP 1200  | Experimental (TX requires permit)          |
| 150     | 1250.000        | FM   | 23CM Alt      | 23cm alternate freq (amateur licence)      |
| 151     | 145.750         | FM   | 2M Rptr HL0Q  | 2m repeater out, –0.6 MHz (amateur licence)|
| 152     | 145.800         | FM   | 2M Rptr HL0R  | 2m repeater out, –0.6 MHz (amateur licence)|
| 153     | 434.825         | FM   | 70CM Rptr HL0S| 70cm repeater out, –1.6 MHz (amateur licence) |
| 154     | 434.850         | FM   | 70CM Rptr HL0T| 70cm repeater out, –1.6 MHz (amateur licence) |
| 155     | 156.225         | FM   | MARINE 64     | Marine ship-to-ship (RX only)              |
| 156     | 156.275         | FM   | MARINE 65     | Marine port ops (RX only)                  |
| 157     | 156.325         | FM   | MARINE 66     | Marine port ops (RX only)                  |
| 158     | 156.775         | FM   | MARINE 75     | Marine navigation (RX only)                |
| 159     | 156.825         | FM   | MARINE 76     | Marine navigation (RX only)                |
| 160     | 119.650         | AM   | USN TWR       | Ulsan Tower (RX only)                      |
| 161     | 125.050         | AM   | KPO APP       | Gimpo Approach (RX only)                   |
| 162     | 88.9            | FM   | FEBC Korea    | FEBC Korea Seoul (FM preset, RX only)      |
| 163     | 94.3            | FM   | TBN Busan     | TBN Busan (FM preset, RX only)             |
| 164     | 106.5           | FM   | KBS World     | KBS World Radio Seoul (FM preset, RX only) |
| 165     | 145.525         | FM   | 2M Simplex 2  | 2m simplex (amateur licence)               |
| 166     | 433.450         | FM   | 70CM Simplex 2| 70cm simplex (amateur licence)             |
| 167     | 1296.300        | FM   | 23CM Alt Call | 23cm alternate calling (amateur licence)   |
| 168     | 145.725         | FM   | 2M Rptr HL0U  | 2m repeater out, –0.6 MHz (amateur licence)|
| 169     | 145.850         | FM   | 2M Rptr HL0V  | 2m repeater out, –0.6 MHz (amateur licence)|
| 170     | 434.875         | FM   | 70CM Rptr HL0W| 70cm repeater out, –1.6 MHz (amateur licence) |
| 171     | 434.900         | FM   | 70CM Rptr HL0X| 70cm repeater out, –1.6 MHz (amateur licence) |
| 172     | 156.750         | FM   | MARINE 15     | Marine inter-ship (RX only)                |
| 173     | 119.450         | AM   | KUV TWR       | Gunsan Tower (RX only)                     |
| 174     | 90.3            | FM   | TBN Seoul     | TBN Seoul (FM preset, RX only)             |
| 175     | 145.575         | FM   | 2M Simplex 3  | 2m simplex (amateur licence)               |
| 176     | 433.475         | FM   | 70CM Simplex 3| 70cm simplex (amateur licence)             |
| 177     | 145.7875        | FM   | 2M Rptr HL0Y  | 2m repeater out, –0.6 MHz (amateur licence)|
| 178     | 145.8125        | FM   | 2M Rptr HL0Z  | 2m repeater out, –0.6 MHz (amateur licence)|
| 179     | 434.925         | FM   | 70CM Rptr HL0AA| 70cm repeater out, –1.6 MHz (amateur licence) |
| 180     | 434.950         | FM   | 70CM Rptr HL0AB| 70cm repeater out, –1.6 MHz (amateur licence) |
| 181     | 119.800         | AM   | WJU TWR       | Wonju Tower (RX only)                      |
| 182     | 92.7            | FM   | TBN Daegu     | TBN Daegu (FM preset, RX only)             |
| 183     | 145.850         | FM   | 2M Simplex 4  | 2m simplex (amateur licence)               |
| 184     | 433.525         | FM   | 70CM Simplex 4| 70cm simplex (amateur licence)             |
| 185     | 145.525         | FM   | 2M Simplex 5  | 2m simplex (amateur licence)               |
| 186     | 433.550         | FM   | 70CM Simplex 5| 70cm simplex (amateur licence)             |
| 187     | 145.875         | FM   | 2M Simplex 6  | 2m simplex (amateur licence)               |
| 188     | 433.575         | FM   | 70CM Simplex 6| 70cm simplex (amateur licence)             |
| 189     | 145.900         | FM   | 2M Simplex 7  | 2m simplex (amateur licence)               |
| 190     | 433.600         | FM   | 70CM Simplex 7| 70cm simplex (amateur licence)             |
| 191     | 145.925         | FM   | 2M Simplex 8  | 2m simplex (amateur licence)               |
| 192     | 433.625         | FM   | 70CM Simplex 8| 70cm simplex (amateur licence)             |
| 193     | 145.950         | FM   | 2M Simplex 9  | 2m simplex (amateur licence)               |
| 194     | 433.650         | FM   | 70CM Simplex 9| 70cm simplex (amateur licence)             |
| 195     | 145.975         | FM   | 2M Simplex 10 | 2m simplex (amateur licence)               |
| 196     | 433.675         | FM   | 70CM Simplex 10| 70cm simplex (amateur licence)             |
| 197     | 146.000         | FM   | 2M Simplex 11 | 2m simplex (amateur licence)               |
| 198     | 433.700         | FM   | 70CM Simplex 11| 70cm simplex (amateur licence)             |
| 199     | 93.3            | FM   | TBN Jeju      | TBN Jeju (FM preset, RX only)              |

Notes for South Korea
Licence-Free Bands:
PMR446: Channels 0–7 (446.00625–446.09375 MHz, 0.5W max). Permitted under KCC regulations (RRA Notice No. 2017-14) for personal use without a licence.
Amateur Radio: Requires a licence from the Korean Amateur Radio League (KARL) or KCC (callsign prefix HL):
6m: 27–28, 51–52, 64, 100–101 (50–52 MHz, up to 100W).
2m: 8–11, 31, 34–35, 53, 65, 78–79, 93–94, 102–103, 151–152, 165–166, 168–169, 175, 177–179, 183, 185, 187, 188–198 (144–148 MHz, up to 100W).
70cm: 12–15, 32, 36–37, 54, 66, 80–81, 95–96, 104–105, 153–154, 166–167, 170–171, 176, 180–181, 184, 186, 189–191, 194–199 (430–440 MHz, up to 100W).
23cm: 29–30, 67, 106–107, 150, 167 (1240–1300 MHz, up to 100W).
Marine VHF: Channels 16–20, 38–45, etc., are standard international maritime frequencies (RX-only unless licensed, typically for maritime operators).
Airband: Channels 21–23, 46–47, etc., are international aviation frequencies (RX-only).
FM Presets: Channels 24–26, 48–50, etc., reflect popular South Korean stations (e.g., KBS, MBC, SBS), mostly Seoul-based (RX-only).
Experimental: Channels 108–149 (50–1300 MHz) require KCC permits for TX, aligning with KC certification for RF devices.
Technical Considerations: Stock TX bands (136–174 MHz, 400–470 MHz) are optimal; unlocked bands (50–136 MHz, 470–1300 MHz) require permits for TX due to EMC/RF regulations.
Key Differences
Licence-Free Access: North Korea has no public licence-free bands, while South Korea supports PMR446.
Amateur Radio: Virtually non-existent in North Korea due to state control; thriving in South Korea with active repeaters (e.g., HL0 prefix).
Broadcasting: North Korea’s FM is state-only (KCBS, Pyongyang FM); South Korea has diverse commercial and public stations (KBS, MBC, etc.).
Regulation: North Korea bans private radio use; South Korea enforces KC certification but allows broader access.
