| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
| 63      | 52.525          | FM   | 6M FM Call    | 6m FM calling (amateur licence)            |
| 64      | 145.790         | FM   | ISS Downlink  | ISS amateur downlink (amateur licence)     |
| 65      | 144.600         | FM   | 2M Data       | 2m data freq (amateur licence)             |
| 66      | 432.600         | FM   | 70CM Data     | 70cm data freq (amateur licence)           |
| 67      | 1296.500        | FM   | 23CM Data     | 23cm data freq (amateur licence)           |
| 68      | 50.800          | FM   | 6M Beacon     | 6m beacon (amateur licence)                |
| 69      | 144.250         | FM   | 2M Beacon     | 2m beacon (amateur licence)                |
| 70      | 432.500         | FM   | 70CM Beacon   | 70cm beacon (amateur licence)              |
| 71      | 1297.000        | FM   | 23CM Beacon   | 23cm beacon (amateur licence)              |
| 72      | 156.525         | FM   | MARINE 70     | DSC distress (RX only)                     |
| 73      | 156.575         | FM   | MARINE 71     | Marine non-commercial (RX only)            |
| 74      | 156.725         | FM   | MARINE 74     | Marine port ops (RX only)                  |
| 75      | 157.025         | FM   | MARINE 80A    | Marine non-commercial (RX only)            |
| 76      | 157.075         | FM   | MARINE 21A    | Marine coastal (RX only)                   |
| 77      | 123.100         | AM   | SAR AIR       | Search & Rescue air freq (RX only)         |
| 78      | 122.800         | AM   | UNICOM        | Unicom general aviation (RX only)          |
| 79      | 119.100         | AM   | VOBL TWR      | Bengaluru Tower (RX only)                  |
| 80      | 125.900         | AM   | VOCL APP      | Kozhikode Approach (RX only)               |
| 81      | 95.3            | FM   | Big FM        | Big FM Mumbai (FM preset, RX only)         |
| 82      | 96.7            | FM   | AIR FM Rainbow| AIR FM Rainbow Delhi (FM preset, RX only)  |
| 83      | 97.8            | FM   | Ishq FM       | Ishq FM Mumbai (FM preset, RX only)        |
| 84      | 145.775         | FM   | 2M Rptr VU2I  | 2m repeater out, –0.6 MHz (amateur licence)|
| 85      | 145.800         | FM   | 2M Rptr VU2J  | 2m repeater out, –0.6 MHz (amateur licence)|
| 86      | 434.725         | FM   | 70CM Rptr VU2K| 70cm repeater out, –1.6 MHz (amateur licence) |
| 87      | 434.750         | FM   | 70CM Rptr VU2L| 70cm repeater out, –1.6 MHz (amateur licence) |
| 88      | 156.375         | FM   | MARINE 67     | Marine small craft safety (RX only)        |
| 89      | 156.650         | FM   | MARINE 13     | Bridge-to-bridge (RX only)                 |
| 90      | 156.600         | FM   | MARINE 12     | Marine port ops (RX only)                  |
| 91      | 156.700         | FM   | MARINE 14     | Marine port ops (RX only)                  |
| 92      | 156.875         | FM   | MARINE 77     | Marine inter-ship (RX only)                |
| 93      | 157.200         | FM   | MARINE 84     | Marine public correspondence (RX only)     |
| 94      | 157.250         | FM   | MARINE 85     | Marine public correspondence (RX only)     |
| 95      | 157.300         | FM   | MARINE 86     | Marine public correspondence (RX only)     |
| 96      | 157.350         | FM   | MARINE 87     | Marine public correspondence (RX only)     |
| 97      | 157.400         | FM   | MARINE 88     | Marine public correspondence (RX only)     |
| 98      | 119.650         | AM   | VOHY TWR      | Hyderabad Tower (RX only)                  |
| 99      | 124.400         | AM   | VOTV APP      | Thiruvananthapuram Approach (RX only)      |
| 100     | 98.3            | FM   | Radio Mirchi  | Radio Mirchi Delhi (FM preset, RX only)    |
| 101     | 99.5            | FM   | AIR FM Gold   | AIR FM Gold Delhi (FM preset, RX only)     |
| 102     | 100.1           | FM   | AIR Vividh    | AIR Vividh Bharati Mumbai (FM preset, RX only) |
| 103     | 50.000          | FM   | 6M Low Edge   | 6m band edge (amateur licence)             |
| 104     | 54.000          | FM   | 6M High Edge  | 6m band edge (amateur licence)             |
| 105     | 144.000         | FM   | 2M Low Edge   | 2m band edge (amateur licence)             |
| 106     | 148.000         | FM   | 2M High Edge  | 2m band edge (amateur licence)             |
| 107     | 420.000         | FM   | 70CM Low Edge | 70cm band edge (amateur licence)           |
| 108     | 450.000         | FM   | 70CM High Edge| 70cm band edge (amateur licence)           |
| 109     | 1240.000        | FM   | 23CM Low Edge | 23cm band edge (amateur licence)           |
| 110     | 1300.000        | FM   | 23CM High Edge| 23cm band edge (amateur licence)           |
| 111     | 60.000          | FM   | VHF EXP 60    | Experimental (TX requires permit)          |
| 112     | 70.000          | FM   | VHF EXP 70    | Experimental (TX requires permit)          |
| 113     | 80.000          | FM   | VHF EXP 80    | Experimental (TX requires permit)          |
| 114     | 90.000          | FM   | VHF EXP 90    | Experimental (TX requires permit)          |
| 115     | 100.000         | FM   | VHF EXP 100   | Experimental (TX requires permit)          |
| 116     | 110.000         | FM   | VHF EXP 110   | Experimental (TX requires permit)          |
| 117     | 120.000         | FM   | VHF EXP 120   | Experimental (TX requires permit)          |
| 118     | 130.000         | FM   | VHF EXP 130   | Experimental (TX requires permit)          |
| 119     | 150.000         | FM   | VHF EXP 150   | Experimental (TX requires permit)          |
| 120     | 160.000         | FM   | VHF EXP 160   | Experimental (TX requires permit)          |
| 121     | 170.000         | FM   | VHF EXP 170   | Experimental (TX requires permit)          |
| 122     | 180.000         | FM   | VHF EXP 180   | Experimental (TX requires permit)          |
| 123     | 190.000         | FM   | VHF EXP 190   | Experimental (TX requires permit)          |
| 124     | 200.000         | FM   | VHF EXP 200   | Experimental (TX requires permit)          |
| 125     | 225.000         | FM   | MID EXP 225   | Experimental (TX requires permit)          |
| 126     | 250.000         | FM   | MID EXP 250   | Experimental (TX requires permit)          |
| 127     | 275.000         | FM   | MID EXP 275   | Experimental (TX requires permit)          |
| 128     | 300.000         | FM   | MID EXP 300   | Experimental (TX requires permit)          |
| 129     | 325.000         | FM   | MID EXP 325   | Experimental (TX requires permit)          |
| 130     | 350.000         | FM   | MID EXP 350   | Experimental (TX requires permit)          |
| 131     | 375.000         | FM   | MID EXP 375   | Experimental (TX requires permit)          |
| 132     | 400.000         | FM   | UHF EXP 400   | Experimental (TX requires permit)          |
| 133     | 425.000         | FM   | UHF EXP 425   | Experimental (TX requires permit)          |
| 134     | 450.000         | FM   | UHF EXP 450   | Experimental (TX requires permit)          |
| 135     | 475.000         | FM   | UHF EXP 475   | Experimental (TX requires permit)          |
| 136     | 500.000         | FM   | UHF EXP 500   | Experimental (TX requires permit)          |
| 137     | 525.000         | FM   | UHF EXP 525   | Experimental (TX requires permit)          |
| 138     | 550.000         | FM   | UHF EXP 550   | Experimental (TX requires permit)          |
| 139     | 575.000         | FM   | UHF EXP 575   | Experimental (TX requires permit)          |
| 140     | 600.000         | FM   | UHF EXP 600   | Experimental (TX requires permit)          |
| 141     | 650.000         | FM   | UHF EXP 650   | Experimental (TX requires permit)          |
| 142     | 700.000         | FM   | UHF EXP 700   | Experimental (TX requires permit)          |
| 143     | 750.000         | FM   | SHF EXP 750   | Experimental (TX requires permit)          |
| 144     | 800.000         | FM   | SHF EXP 800   | Experimental (TX requires permit)          |
| 145     | 850.000         | FM   | SHF EXP 850   | Experimental (TX requires permit)          |
| 146     | 900.000         | FM   | SHF EXP 900   | Experimental (TX requires permit)          |
| 147     | 950.000         | FM   | SHF EXP 950   | Experimental (TX requires permit)          |
| 148     | 1000.000        | FM   | SHF EXP 1000  | Experimental (TX requires permit)          |
| 149     | 1050.000        | FM   | SHF EXP 1050  | Experimental (TX requires permit)          |
| 150     | 1150.000        | FM   | SHF EXP 1150  | Experimental (TX requires permit)          |
| 151     | 1200.000        | FM   | SHF EXP 1200  | Experimental (TX requires permit)          |
| 152     | 1250.000        | FM   | 23CM Alt      | 23cm alternate freq (amateur licence)      |
| 153     | 145.825         | FM   | 2M Rptr VU2M  | 2m repeater out, –0.6 MHz (amateur licence)|
| 154     | 145.850         | FM   | 2M Rptr VU2N  | 2m repeater out, –0.6 MHz (amateur licence)|
| 155     | 434.825         | FM   | 70CM Rptr VU2O| 70cm repeater out, –1.6 MHz (amateur licence) |
| 156     | 434.850         | FM   | 70CM Rptr VU2P| 70cm repeater out, –1.6 MHz (amateur licence) |
| 157     | 156.475         | FM   | MARINE 69     | Marine non-commercial (RX only)            |
| 158     | 156.775         | FM   | MARINE 75     | Marine navigation (RX only)                |
| 159     | 156.825         | FM   | MARINE 76     | Marine navigation (RX only)                |
| 160     | 119.800         | AM   | VAAH TWR      | Ahmedabad Tower (RX only)                  |
| 161     | 125.050         | AM   | VOGO APP      | Goa Approach (RX only)                     |
| 162     | 101.9           | FM   | AIR FM Rainbow| AIR FM Rainbow Bangalore (FM preset, RX only) |
| 163     | 102.6           | FM   | AIR Vividh    | AIR Vividh Bharati Delhi (FM preset, RX only) |
| 164     | 103.1           | FM   | Red FM        | Red FM Delhi (FM preset, RX only)          |
| 165     | 51.000          | FM   | 6M Alt Call   | 6m alternate calling (amateur licence)     |
| 166     | 146.580         | FM   | 2M Simplex 2  | 2m simplex (amateur licence)               |
| 167     | 433.450         | FM   | 70CM Simplex 2| 70cm simplex (amateur licence)             |
| 168     | 1296.300        | FM   | 23CM Alt Call | 23cm alternate calling (amateur licence)   |
| 169     | 145.875         | FM   | 2M Rptr VU2Q  | 2m repeater out, –0.6 MHz (amateur licence)|
| 170     | 145.900         | FM   | 2M Rptr VU2R  | 2m repeater out, –0.6 MHz (amateur licence)|
| 171     | 434.875         | FM   | 70CM Rptr VU2S| 70cm repeater out, –1.6 MHz (amateur licence) |
| 172     | 434.900         | FM   | 70CM Rptr VU2T| 70cm repeater out, –1.6 MHz (amateur licence) |
| 173     | 156.750         | FM   | MARINE 15     | Marine inter-ship (RX only)                |
| 174     | 119.450         | AM   | VOCI TWR      | Kochi Tower (RX only)                      |
| 175     | 104.2           | FM   | Big FM        | Big FM Delhi (FM preset, RX only)          |
| 176     | 145.575         | FM   | 2M Simplex 3  | 2m simplex (amateur licence)               |
| 177     | 433.475         | FM   | 70CM Simplex 3| 70cm simplex (amateur licence)             |
| 178     | 145.925         | FM   | 2M Rptr VU2U  | 2m repeater out, –0.6 MHz (amateur licence)|
| 179     | 145.950         | FM   | 2M Rptr VU2V  | 2m repeater out, –0.6 MHz (amateur licence)|
| 180     | 434.925         | FM   | 70CM Rptr VU2W| 70cm repeater out, –1.6 MHz (amateur licence) |
| 181     | 434.950         | FM   | 70CM Rptr VU2X| 70cm repeater out, –1.6 MHz (amateur licence) |
| 182     | 119.200         | AM   | VAPO TWR      | Pune Tower (RX only)                       |
| 183     | 105.6           | FM   | AIR FM Rainbow| AIR FM Rainbow Chennai (FM preset, RX only)|
| 184     | 145.850         | FM   | 2M Simplex 4  | 2m simplex (amateur licence)               |
| 185     | 433.525         | FM   | 70CM Simplex 4| 70cm simplex (amateur licence)             |
| 186     | 145.525         | FM   | 2M Simplex 5  | 2m simplex (amateur licence)               |
| 187     | 433.550         | FM   | 70CM Simplex 5| 70cm simplex (amateur licence)             |
| 188     | 145.875         | FM   | 2M Simplex 6  | 2m simplex (amateur licence)               |
| 189     | 433.575         | FM   | 70CM Simplex 6| 70cm simplex (amateur licence)             |
| 190     | 145.900         | FM   | 2M Simplex 7  | 2m simplex (amateur licence)               |
| 191     | 433.600         | FM   | 70CM Simplex 7| 70cm simplex (amateur licence)             |
| 192     | 145.925         | FM   | 2M Simplex 8  | 2m simplex (amateur licence)               |
| 193     | 433.625         | FM   | 70CM Simplex 8| 70cm simplex (amateur licence)             |
| 194     | 145.950         | FM   | 2M Simplex 9  | 2m simplex (amateur licence)               |
| 195     | 433.650         | FM   | 70CM Simplex 9| 70cm simplex (amateur licence)             |
| 196     | 145.975         | FM   | 2M Simplex 10 | 2m simplex (amateur licence)               |
| 197     | 433.675         | FM   | 70CM Simplex 10| 70cm simplex (amateur licence)             |
| 198     | 146.000         | FM   | 2M Simplex 11 | 2m simplex (amateur licence)               |
| 199     | 433.700         | FM   | 70CM Simplex 11| 70cm simplex (amateur licence)             |


Notes for India
Licence-Free Bands:
27 MHz CB: Channels 0–7, 59–61 (27.005–27.125 MHz, 1W max AM). Regulated under WPC’s G.S.R. 533(E) (1985) and G.S.R. 36(E) (2009), no licence required. Ch 5 and 9 are designated for emergencies, Ch 8 and 11 for calling.
PMR446: Channels 8–15 (446.00625–446.09375 MHz, 0.5W max). Introduced by WPC in 2018 (G.S.R. 1047(E)), harmonized with EU standards, licence-free for personal use.
Amateur Radio: Requires a licence from ARSI or WPC (callsign prefix VU):
6m: 35–36, 62–63, 68, 103–104, 165 (50–54 MHz, up to 25W Restricted, 400W General).
2m: 16–19, 39, 42–43, 65, 69, 84–85, 105–106, 153–154, 166–167, 169–170, 176, 178–179, 184, 186–198 (144–146 MHz, up to 25W Restricted, 400W General).
70cm: 20–23, 40, 44–45, 66, 70, 86–87, 107–108, 155–156, 167–168, 171–172, 177, 180–181, 185, 187–199 (420–450 MHz, up to 25W Restricted, 400W General).
23cm: 37–38, 71, 109–110, 152, 168 (1240–1300 MHz, up to 25W Restricted, 400W General).
Marine VHF: Channels 24–28, 46–53, etc., are standard international maritime frequencies (RX-only unless licensed, typically for maritime operators).
Airband: Channels 29–31, 54–55, etc., are international aviation frequencies (RX-only).
FM Presets: Channels 32–34, 56–58, etc., reflect popular Indian stations (e.g., Radio Mirchi, AIR), mostly Mumbai/Delhi-based (RX-only).
Experimental: Channels 111–151 (50–1300 MHz) require WPC permits for TX, per Indian Wireless Telegraphy Act (1933).
Technical Considerations: Stock TX bands (136–174 MHz, 400–470 MHz) are optimal; unlocked bands (50–136 MHz, 470–1300 MHz) require permits for TX due to WPC regulations.
