| Channel | Frequency (MHz) | Mode | Name          | Notes                                      |
| 114     | 120.000         | FM   | VHF EXP 120   | Experimental (TX requires permit)          |
| 115     | 130.000         | FM   | VHF EXP 130   | Experimental (TX requires permit)          |
| 116     | 150.000         | FM   | VHF EXP 150   | Experimental (TX requires permit)          |
| 117     | 160.000         | FM   | VHF EXP 160   | Experimental (TX requires permit)          |
| 118     | 170.000         | FM   | VHF EXP 170   | Experimental (TX requires permit)          |
| 119     | 180.000         | FM   | VHF EXP 180   | Experimental (TX requires permit)          |
| 120     | 190.000         | FM   | VHF EXP 190   | Experimental (TX requires permit)          |
| 121     | 200.000         | FM   | VHF EXP 200   | Experimental (TX requires permit)          |
| 122     | 225.000         | FM   | MID EXP 225   | Experimental (TX requires permit)          |
| 123     | 250.000         | FM   | MID EXP 250   | Experimental (TX requires permit)          |
| 124     | 275.000         | FM   | MID EXP 275   | Experimental (TX requires permit)          |
| 125     | 300.000         | FM   | MID EXP 300   | Experimental (TX requires permit)          |
| 126     | 325.000         | FM   | MID EXP 325   | Experimental (TX requires permit)          |
| 127     | 350.000         | FM   | MID EXP 350   | Experimental (TX requires permit)          |
| 128     | 375.000         | FM   | MID EXP 375   | Experimental (TX requires permit)          |
| 129     | 400.000         | FM   | UHF EXP 400   | Experimental (TX requires permit)          |
| 130     | 450.000         | FM   | UHF EXP 450   | Experimental (TX requires permit)          |
| 131     | 475.000         | FM   | UHF EXP 475   | Experimental (TX requires permit)          |
| 132     | 500.000         | FM   | UHF EXP 500   | Experimental (TX requires permit)          |
| 133     | 525.000         | FM   | UHF EXP 525   | Experimental (TX requires permit)          |
| 134     | 550.000         | FM   | UHF EXP 550   | Experimental (TX requires permit)          |
| 135     | 575.000         | FM   | UHF EXP 575   | Experimental (TX requires permit)          |
| 136     | 600.000         | FM   | UHF EXP 600   | Experimental (TX requires permit)          |
| 137     | 650.000         | FM   | UHF EXP 650   | Experimental (TX requires permit)          |
| 138     | 700.000         | FM   | UHF EXP 700   | Experimental (TX requires permit)          |
| 139     | 750.000         | FM   | SHF EXP 750   | Experimental (TX requires permit)          |
| 140     | 800.000         | FM   | SHF EXP 800   | Experimental (TX requires permit)          |
| 141     | 850.000         | FM   | SHF EXP 850   | Experimental (TX requires permit)          |
| 142     | 900.000         | FM   | SHF EXP 900   | Experimental (TX requires permit)          |
| 143     | 950.000         | FM   | SHF EXP 950   | Experimental (TX requires permit)          |
| 144     | 1000.000        | FM   | SHF EXP 1000  | Experimental (TX requires permit)          |
| 145     | 1050.000        | FM   | SHF EXP 1050  | Experimental (TX requires permit)          |
| 146     | 1100.000        | FM   | SHF EXP 1100  | Experimental (TX requires permit)          |
| 147     | 1150.000        | FM   | SHF EXP 1150  | Experimental (TX requires permit)          |
| 148     | 1200.000        | FM   | SHF EXP 1200  | Experimental (TX requires permit)          |
| 149     | 1250.000        | FM   | 23CM Alt      | 23cm alternate freq (amateur licence)      |
| 150     | 145.750         | FM   | 2M Rptr JA1Q  | 2m repeater out, –0.6 MHz (amateur licence)|
| 151     | 145.800         | FM   | 2M Rptr JA1R  | 2m repeater out, –0.6 MHz (amateur licence)|
| 152     | 434.825         | FM   | 70CM Rptr JA1S| 70cm repeater out, –1.6 MHz (amateur licence) |
| 153     | 434.850         | FM   | 70CM Rptr JA1T| 70cm repeater out, –1.6 MHz (amateur licence) |
| 154     | 156.225         | FM   | MARINE 64     | Marine ship-to-ship (RX only)              |
| 155     | 156.275         | FM   | MARINE 65     | Marine port ops (RX only)                  |
| 156     | 156.325         | FM   | MARINE 66     | Marine port ops (RX only)                  |
| 157     | 156.775         | FM   | MARINE 75     | Marine navigation (RX only)                |
| 158     | 156.825         | FM   | MARINE 76     | Marine navigation (RX only)                |
| 159     | 119.650         | AM   | OKJ TWR       | Okayama Tower (RX only)                    |
| 160     | 125.700         | AM   | HIJ APP       | Hiroshima Approach (RX only)               |
| 161     | 92.6            | FM   | FM Aomori     | FM Aomori (FM preset, RX only)             |
| 162     | 93.7            | FM   | FM Osaka      | FM Osaka (FM preset, RX only)              |
| 163     | 94.9            | FM   | NHK FM Sendai | NHK FM Sendai (FM preset, RX only)         |
| 164     | 145.525         | FM   | 2M Simplex 2  | 2m simplex (amateur licence)               |
| 165     | 433.450         | FM   | 70CM Simplex 2| 70cm simplex (amateur licence)             |
| 166     | 1296.300        | FM   | 23CM Alt Call | 23cm alternate calling (amateur licence)   |
| 167     | 145.725         | FM   | 2M Rptr JA1U  | 2m repeater out, –0.6 MHz (amateur licence)|
| 168     | 145.850         | FM   | 2M Rptr JA1V  | 2m repeater out, –0.6 MHz (amateur licence)|
| 169     | 434.875         | FM   | 70CM Rptr JA1W| 70cm repeater out, –1.6 MHz (amateur licence) |
| 170     | 434.900         | FM   | 70CM Rptr JA1X| 70cm repeater out, –1.6 MHz (amateur licence) |
| 171     | 156.750         | FM   | MARINE 15     | Marine inter-ship (RX only)                |
| 172     | 119.450         | AM   | KOJ TWR       | Kochi Tower (RX only)                      |
| 173     | 96.5            | FM   | FM Miyagi     | FM Miyagi (FM preset, RX only)             |
| 174     | 145.575         | FM   | 2M Simplex 3  | 2m simplex (amateur licence)               |
| 175     | 433.475         | FM   | 70CM Simplex 3| 70cm simplex (amateur licence)             |
| 176     | 145.7875        | FM   | 2M Rptr JA1Y  | 2m repeater out, –0.6 MHz (amateur licence)|
| 177     | 145.8125        | FM   | 2M Rptr JA1Z  | 2m repeater out, –0.6 MHz (amateur licence)|
| 178     | 434.925         | FM   | 70CM Rptr JA1AA| 70cm repeater out, –1.6 MHz (amateur licence) |
| 179     | 434.950         | FM   | 70CM Rptr JA1AB| 70cm repeater out, –1.6 MHz (amateur licence) |
| 180     | 119.800         | AM   | SDJ TWR       | Sendai Tower (RX only)                     |
| 181     | 97.7            | FM   | FM Niigata    | FM Niigata (FM preset, RX only)            |
| 182     | 145.850         | FM   | 2M Simplex 4  | 2m simplex (amateur licence)               |
| 183     | 433.525         | FM   | 70CM Simplex 4| 70cm simplex (amateur licence)             |
| 184     | 145.525         | FM   | 2M Simplex 5  | 2m simplex (amateur licence)               |
| 185     | 433.550         | FM   | 70CM Simplex 5| 70cm simplex (amateur licence)             |
| 186     | 145.875         | FM   | 2M Simplex 6  | 2m simplex (amateur licence)               |
| 187     | 433.575         | FM   | 70CM Simplex 6| 70cm simplex (amateur licence)             |
| 188     | 145.900         | FM   | 2M Simplex 7  | 2m simplex (amateur licence)               |
| 189     | 433.600         | FM   | 70CM Simplex 7| 70cm simplex (amateur licence)             |
| 190     | 145.925         | FM   | 2M Simplex 8  | 2m simplex (amateur licence)               |
| 191     | 433.625         | FM   | 70CM Simplex 8| 70cm simplex (amateur licence)             |
| 192     | 145.950         | FM   | 2M Simplex 9  | 2m simplex (amateur licence)               |
| 193     | 433.650         | FM   | 70CM Simplex 9| 70cm simplex (amateur licence)             |
| 194     | 145.975         | FM   | 2M Simplex 10 | 2m simplex (amateur licence)               |
| 195     | 433.675         | FM   | 70CM Simplex 10| 70cm simplex (amateur licence)             |
| 196     | 146.000         | FM   | 2M Simplex 11 | 2m simplex (amateur licence)               |
| 197     | 433.700         | FM   | 70CM Simplex 11| 70cm simplex (amateur licence)             |
| 198     | 119.200         | AM   | UKB TWR       | Kobe Tower (RX only)                       |
| 199     | 98.5            | FM   | FM Gunma      | FM Gunma (FM preset, RX only)              |



Notes for Japan
Licence-Free Bands:
Specified Low Power Radio (SLPR): Channels 0–7 (422.200–422.2875 MHz, 10mW max, 12.5 kHz steps). Regulated under MIC’s “Technical Standards for Specified Low Power Radio Equipment” (Ordinance No. 37, 1989), permitted for personal use without a licence. Used for short-range devices like walkie-talkies.
Amateur Radio: Requires a licence from JARL or MIC (callsign prefix JA):
6m: 27–28, 51–52, 64, 100–101 (50–54 MHz, up to 50W for 3rd/4th class, 200W for higher).
2m: 8–11, 31, 34–35, 53, 65, 78–79, 93–94, 102–103, 150–151, 164–165, 167–168, 174, 176–178, 182–183, 184–198 (144–146 MHz, up to 50W for 3rd/4th class, 200W for higher).
70cm: 12–15, 32, 36–37, 54, 66, 80–81, 95–96, 104–105, 152–153, 165–166, 169–170, 175, 179–180, 183–184, 186–197 (430–440 MHz, up to 50W for 3rd/4th class, 200W for higher).
23cm: 29–30, 67, 106–107, 149, 166 (1240–1300 MHz, up to 50W for 3rd/4th class, 200W for higher).
Marine VHF: Channels 16–20, 38–45, etc., are standard international maritime frequencies (RX-only unless licensed, typically for maritime operators).
Airband: Channels 21–23, 46–47, etc., are international aviation frequencies (RX-only).
FM Presets: Channels 24–26, 48–50, etc., reflect popular Japanese stations (e.g., NHK, J-WAVE), mostly Tokyo-based with some regional (RX-only). Japan uses a wider FM band (76–108 MHz) than many countries.
Experimental: Channels 108–148 (50–1300 MHz) require MIC permits for TX, aligning with Japan’s Radio Law and equipment certification.
Technical Considerations: Stock TX bands (136–174 MHz, 400–470 MHz) are optimal; unlocked bands (50–136 MHz, 470–1300 MHz) require permits for TX due to strict RF regulations.
